TimeOfDay,currentLocation,n
Evening,POINT (-0.1016841895142733 1659.5263888694847),101
Evening,POINT (-0.2481923784806241 4734.563240849725),1
Evening,POINT (-0.7180793282352482 1659.529249642722),279
Evening,POINT (-1.2659474923430878 4734.690607275804),9
Evening,POINT (-1.6968048415375492 4734.744526691162),1
Evening,POINT (-10.88658609394809 4100.315455749981),348
Evening,POINT (-100.03978142148857 3631.585446693285),59
Evening,POINT (-100.12949623372589 3843.835586477975),36
Evening,POINT (-100.69084105664615 3843.796628924305),6
Evening,POINT (-100.94272074299435 5328.444832535462),21
Evening,POINT (-1003.8978561568141 5800.420303482261),322
Evening,POINT (-1004.6554635101361 3073.949548440335),21
Evening,POINT (-1005.3414685495761 4996.878404357147),11
Evening,POINT (-1005.6144389314206 5800.419452044477),321
Evening,POINT (-1006.0889662654462 1603.696586186995),5
Evening,POINT (-1009.0079846352935 5800.417768820647),169
Evening,POINT (-1009.6815322288154 1211.9735533077042),3
Evening,POINT (-101.04831495087149 4105.989627962555),13
Evening,POINT (-101.64095272743053 1664.5262260902193),1
Evening,POINT (-1011.8251669935139 3673.5220606675525),23
Evening,POINT (-1013.3883504309106 5800.415596126734),14
Evening,POINT (-1015.4410351677366 3017.7174656996385),1
Evening,POINT (-1017.812096719808 5800.413401915775),40
Evening,POINT (-1018.4644716012323 5800.4130783329965),9
Evening,POINT (-1019.4514254820651 3673.40915218706),3
Evening,POINT (-102.2016538697148 1559.707262801607),131
Evening,POINT (-102.73879301577014 4106.257524661403),5
Evening,POINT (-1020.3464818985977 1209.8615134194474),6
Evening,POINT (-1021.5011386286116 1340.518679223127),103
Evening,POINT (-1022.0316634132713 5800.411308979409),48
Evening,POINT (-1025.4630206407976 1458.3944579281979),1
Evening,POINT (-1025.4630206407976 1571.1658211045055),20
Evening,POINT (-1025.5765717605177 5800.409550678585),13
Evening,POINT (-1026.069051018681 4259.624081969687),8
Evening,POINT (-1027.45559945573 2422.599034226613),136
Evening,POINT (-1028.9936711581183 5800.407855771948),56
Evening,POINT (-103.17630940311126 4741.534871639929),8
Evening,POINT (-103.2496773248086 4741.536839407588),11
Evening,POINT (-103.34847168413586 1664.643970481375),17
Evening,POINT (-103.9721033221663 4106.452972189886),9
Evening,POINT (-1030.5543057145135 5800.4070816856365),45
Evening,POINT (-1031.5318039812523 3673.2302994531583),33
Evening,POINT (-1032.2319936544486 5800.406249539979),1
Evening,POINT (-1035.502780468404 5800.404627205468),35
Evening,POINT (-1035.963199091323 5800.404398834417),15
Evening,POINT (-1038.1247148644188 5800.403326706567),32
Evening,POINT (-1038.7950504104576 5800.4029942151665),10
Evening,POINT (-1039.366271026914 4260.563447986736),321
Evening,POINT (-1041.1222854526757 4438.523075592422),37
Evening,POINT (-1042.6841322934126 5800.401065201717),34
Evening,POINT (-1042.7352199901034 4438.428193791117),1
Evening,POINT (-1043.176909645593 5800.400820780496),31
Evening,POINT (-1043.943717150741 5800.400440438289),1
Evening,POINT (-1045.2258684552128 5800.3998044817345),7
Evening,POINT (-1045.686537279236 5800.399575986583),321
Evening,POINT (-1046.163837605517 3673.013668888444),47
Evening,POINT (-1047.6890736057503 5800.398582713717),63
Evening,POINT (-1049.146014495698 4261.254326130012),7
Evening,POINT (-1049.2154680556914 1604.1696439637105),1
Evening,POINT (-1049.6293260187585 1604.144828574189),344
Evening,POINT (-1049.9075224419373 3672.9582427883506),59
Evening,POINT (-105.48926627080105 3843.4636163085656),16
Evening,POINT (-105.6973505118205 3807.476197674914),209
Evening,POINT (-1050.648687263032 3672.947269675668),30
Evening,POINT (-1051.0481186469929 3607.5400815960147),74
Evening,POINT (-1052.5546202370583 3672.9190519072376),49
Evening,POINT (-1053.4081896612245 4437.800350215219),20
Evening,POINT (-1053.9623688225518 3672.898209871272),22
Evening,POINT (-1053.9791014912012 5800.395462813248),44
Evening,POINT (-1054.6718759460737 5800.395119191982),322
Evening,POINT (-1059.1803445972816 4437.460799883178),321
Evening,POINT (-106.92378296187508 4106.920736456075),13
Evening,POINT (-1062.3812299904594 3002.1215906661346),31
Evening,POINT (-1063.4391595703562 3672.757903842452),187
Evening,POINT (-1064.1345147856075 2409.7445517137694),20
Evening,POINT (-1064.228557216458 5800.390379007214),1
Evening,POINT (-1064.288007555621 4437.160338673687),18
Evening,POINT (-1065.8108589501398 2920.893385477977),19
Evening,POINT (-1067.3993095225526 1603.079320352066),190
Evening,POINT (-1069.1917167193074 4436.802958344796),1
Evening,POINT (-1069.3684438965927 4296.860839947885),12
Evening,POINT (-1069.4421383111785 3492.2812374050454),87
Evening,POINT (-1069.504032072432 4298.188340541772),6
Evening,POINT (-1069.7215426038908 5800.387654445734),21
Evening,POINT (-1070.296288389467 4305.945069510682),32
