currentLocation,participantId
POINT (-3199.6687474204496 6486.613622416514),619
POINT (-3222.639399455394 6480.711821085322),15
POINT (-1701.0641986732053 3854.4454669136358),23
POINT (-3209.109596091393 6485.524521613392),699
POINT (-1599.956014635296 3896.135729170597),359
POINT (-1710.6926441003545 3870.120282618125),125
POINT (-1539.2306881053362 3801.0808298102856),930
POINT (-3901.458453989484 5956.548669607353),525
POINT (1816.4670992679694 4344.981176843208),174
POINT (-3205.9446979881322 6501.858962568902),750
POINT (-273.10154016879994 5016.8114878480765),131
POINT (-1535.6549158924197 3820.2336703866886),681
POINT (-229.4266060407103 3874.129822868722),479
POINT (-1616.2521847878472 3886.1109054705157),556
POINT (-1523.2207471017798 3806.7123224478387),291
POINT (-239.41638520864643 3888.411616071612),322
POINT (-1709.5663839908918 3862.1629432688096),620
POINT (-3906.1181844502626 5977.253415106877),739
POINT (-3205.1318236348975 6474.84411341317),840
POINT (-3206.012673428708 6474.872221661456),343
POINT (-249.21230936421355 5022.210183594218),570
POINT (-498.35559255228156 3565.123970038263),630
POINT (-1604.4431883900986 3891.39496165963),496
POINT (-220.20654185319154 3871.148579961714),6
POINT (-251.29449804350284 5036.762290054422),151
POINT (-230.86333043608448 3886.2452378487715),618
POINT (-1623.0397783890508 3872.301818191375),930
POINT (965.7563456648793 4002.5099031828454),93
POINT (-1622.4978037471208 3872.3154967597475),287
POINT (-505.6662810234582 3563.654020584828),441
POINT (-3786.050459622024 6366.878006933491),619
POINT (-3910.650825563408 5956.134780125102),731
POINT (-1604.9037002342875 3881.739277020206),360
POINT (-223.16896923331603 3892.3939717770327),310
POINT (-273.5455760730743 5015.202050136439),770
POINT (-224.44736976410815 3867.0220736912697),23
POINT (-1516.1469243515814 3824.914740789508),359
POINT (-213.91672917533808 3874.7140351458893),519
POINT (-494.1270376569047 3542.053038723723),588
POINT (-214.38799248558263 3866.59326988222),938
POINT (-217.72019022060783 3881.341542656172),135
POINT (-222.51502254209998 3878.8926504694377),633
POINT (-1702.1337412299356 3865.064817016173),820
